case,tensor_count,op_count,compute_op_count,edge_count,compute_cycles_total,compute_only_critical_path_cycles,op_dependency_depth,copy_in_ops,copy_out_ops,original_graph_copy_bytes,multi_consumer_tensor_count,multi_consumer_tensor_bytes,topological_order_l1_live_bytes_estimate,topological_order_ub_live_bytes_estimate,PIPE_M_compute_cycles,PIPE_V_compute_cycles,PIPE_MTE2_compute_cycles,PIPE_MTE3_compute_cycles
case_066,6362,6181,5962,16324,440377,32240,156,181,38,1107034,1790,2131836,334400,114798,269694,170683,0,0
case_067,9117,8996,8804,23246,61275840,863040,126,121,71,6048128,1754,14918016,4915328,0,58915232,2360608,0,0
case_068,6260,5853,5351,15148,403797,48319,266,407,95,2771250,1526,2154506,313408,114698,249101,154696,0,0
case_069,1110,1074,1032,2844,31962,2298,48,36,6,126054,324,332006,97728,23092,16674,15288,0,0
case_070,1630,1437,1191,3424,139046,4054,37,193,53,419964,128,360472,88064,34816,91832,47214,0,0
case_071,816,781,741,2063,23488,2298,48,35,5,121446,245,263334,91968,19298,12534,10954,0,0
case_072,32624,31387,29666,88639,24636293,31968,253,1237,484,11103184,2962,12116270,8119296,24054,22928094,1708199,0,0
case_073,5053,4964,4836,12814,8588736,220224,126,89,39,4041088,986,5259136,3887232,0,8160672,428064,0,0
case_074,4833,4269,3609,11541,1777844,3091,41,564,96,3776728,444,2719786,2269184,286770,1579424,198420,0,0
case_075,7953,7684,7410,20378,1752180,182300,462,269,5,1837190,2284,3913414,169344,51782,1107520,644660,0,0
case_076,36815,35076,32528,99916,7008892,2774,15,1739,809,4270674,1666,4142080,2840576,30278,6061644,947248,0,0
case_077,5208,4872,4486,12652,552078,15619,137,336,50,2141360,1256,1318172,286720,69672,415406,136672,0,0
case_078,1156,1094,1024,2812,2141184,246816,126,62,8,2345088,246,3094656,2271360,0,2037888,103296,0,0
case_079,21252,20130,18720,58980,33184512,5952,10,1122,288,9351168,1122,5812224,6402048,0,29424384,3760128,0,0
case_080,1674,1395,1098,3888,309564,746,9,279,18,1978368,279,1904640,2039808,0,289044,20520,0,0
case_081,5185,4505,3485,11220,151725,407,14,680,340,1741140,765,1044990,0,704518,0,151725,0,0
case_082,4298,4209,4113,11187,927702,54690,140,89,7,592006,1198,1945382,189824,76358,567936,359766,0,0
case_083,4037,3956,3844,10206,882136,28456,126,81,31,1438304,794,3374688,1200160,0,810836,71300,0,0
case_084,18309,14001,8616,33387,2507256,2328,10,4308,1077,13236330,2154,9925632,3319296,9312,1266552,1240704,0,0
case_085,20240,19993,19737,53243,4289922,165564,452,247,9,1689734,5548,8748710,210304,100934,2565216,1724706,0,0
case_086,5462,5372,5274,14290,157242,6894,140,90,8,338022,1546,1492518,110496,49206,79182,78060,0,0
case_087,29569,28666,27556,77339,4476064,82063,384,903,207,5919098,6716,9415776,2059776,61126,3593280,882784,0,0
case_088,3811,3577,3309,9270,273352,32229,178,234,34,1829798,1005,1569606,313408,53272,173608,99744,0,0
case_089,5348,5254,5120,13628,698880,16272,126,94,40,566400,1014,1815680,410752,0,589120,109760,0,0
case_090,1811,1744,1664,4502,899808,63936,126,67,13,2228352,366,2532864,2194560,0,840528,59280,0,0
case_091,34927,33497,31554,96492,9913070,56912,126,1430,513,6577656,1545,6880776,4481536,4102,8981360,931710,0,0
case_092,18134,17942,17608,46392,4040752,28456,126,192,142,3256928,3458,12126816,2109472,0,3714152,326600,0,0
case_093,1181,901,552,2285,86112,400,6,280,69,714752,4,8192,155648,0,73968,12144,0,0
case_094,895,791,647,1925,107560,2484,38,104,40,526692,121,475424,96768,73740,70944,36616,0,0
case_095,7854,6006,3696,14322,2084544,4512,10,1848,462,11355036,924,17031168,2869248,37056,1069992,1014552,0,0
case_096,1476,1362,1198,3200,93274,9417,121,114,50,219558,158,343110,62208,35906,40144,53130,0,0
case_097,8320,7488,6592,21568,11635200,23904,54,832,64,5046272,832,4259840,4370432,0,10303488,1331712,0,0
case_098,1700,1553,1365,3615,179997,6783,53,147,41,697994,171,768056,229376,98326,17296,162701,0,0
case_099,7610,7054,6296,19599,1740204,2826,31,556,202,2534036,482,1969920,1398784,17410,1595484,144720,0,0
case_100,1825,1654,1394,4014,164563,4830,54,171,89,454598,205,684344,229376,116892,62556,102007,0,0
